,Movie,Year,IMDB,Metascore,Vote,Runtime,Genre
0,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
2,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
3,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
4,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
5,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
6,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
7,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
8,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
9,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
10,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
11,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
12,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
13,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
14,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
15,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
16,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
17,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
18,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
19,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
20,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
21,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
22,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
23,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
24,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
25,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
26,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
27,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
28,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
29,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
30,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
31,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
32,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
33,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
34,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
35,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
36,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
37,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
38,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
39,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
40,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
41,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
42,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
43,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
44,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
45,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
46,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
47,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
48,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
49,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
50,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
51,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
52,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
53,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
54,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
55,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
56,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
57,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
58,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
59,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
60,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
61,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
62,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
63,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
64,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
65,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
66,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
67,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
68,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
69,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
70,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
71,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
72,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
73,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
74,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
75,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
76,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
77,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
78,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
79,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
80,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
81,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
82,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
83,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
84,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
85,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
86,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
87,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
88,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
89,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
90,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
91,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
92,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
93,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
94,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
95,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
96,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
97,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
98,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
99,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
100,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
101,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
102,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
103,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
104,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
105,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
106,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
107,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
108,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
109,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
110,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
111,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
112,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
113,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
114,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
115,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
116,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
117,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
118,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
119,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
120,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
121,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
122,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
123,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
124,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
125,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
126,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
127,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
128,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
129,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
130,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
131,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
132,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
133,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
134,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
135,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
136,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
137,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
138,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
139,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
140,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
141,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
142,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
143,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
144,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
145,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
146,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
147,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
148,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
149,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
150,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
151,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
152,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
153,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
154,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
155,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
156,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
157,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
158,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
159,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
160,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
161,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
162,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
163,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
164,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
165,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
166,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
167,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
168,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
169,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
170,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
171,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
172,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
173,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
174,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
175,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
176,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
177,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
178,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
179,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
180,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
181,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
182,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
183,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
184,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
185,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
186,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
187,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
188,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
189,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
190,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
191,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
192,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
193,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
194,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
195,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
196,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
197,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
198,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
199,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
200,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
201,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
202,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
203,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
204,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
205,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
206,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
207,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
208,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
209,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
210,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
211,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
212,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
213,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
214,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
215,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
216,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
217,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
218,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
219,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
220,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
221,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
222,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
223,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
224,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
225,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
226,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
227,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
228,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
229,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
230,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
231,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
232,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
233,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
234,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
235,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
236,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
